date,15_min_interval,departure_station_id,predicted_rides,chosen_arrival_station
2020-08-01,00:00:00,41,2,67.0
2020-08-01,00:00:00,41,2,67.0
2020-08-01,00:00:00,44,2,277.0
2020-08-01,00:00:00,44,2,277.0
2020-08-01,00:00:00,56,3,19.0
2020-08-01,00:00:00,56,3,19.0
2020-08-01,00:00:00,56,3,19.0
2020-08-01,00:00:00,72,2,141.0
2020-08-01,00:00:00,72,2,141.0
2020-08-01,00:00:00,112,4,13.0
2020-08-01,00:00:00,112,4,13.0
2020-08-01,00:00:00,112,4,13.0
2020-08-01,00:00:00,112,4,13.0
2020-08-01,00:00:00,134,4,349.0
2020-08-01,00:00:00,134,4,349.0
2020-08-01,00:00:00,134,4,349.0
2020-08-01,00:00:00,134,4,349.0
2020-08-01,00:00:00,166,3,622.0
2020-08-01,00:00:00,166,3,622.0
2020-08-01,00:00:00,166,3,622.0
2020-08-01,00:00:00,180,1,17.0
2020-08-01,00:00:00,208,1,217.0
2020-08-01,00:00:00,214,1,141.0
2020-08-01,00:00:00,313,3,199.0
2020-08-01,00:00:00,313,3,199.0
2020-08-01,00:00:00,313,3,199.0
2020-08-01,00:00:00,331,2,174.0
2020-08-01,00:00:00,331,2,174.0
2020-08-01,00:00:00,346,1,284.0
2020-08-01,00:00:00,354,1,623.0
2020-08-01,00:00:00,389,3,509.0
2020-08-01,00:00:00,389,3,509.0
2020-08-01,00:00:00,389,3,509.0
2020-08-01,00:00:00,413,2,43.0
2020-08-01,00:00:00,413,2,43.0
2020-08-01,00:00:00,416,3,172.0
2020-08-01,00:00:00,416,3,172.0
2020-08-01,00:00:00,416,3,172.0
2020-08-01,00:00:00,429,2,13.0
2020-08-01,00:00:00,429,2,13.0
2020-08-01,00:00:00,501,4,299.0
2020-08-01,00:00:00,501,4,299.0
2020-08-01,00:00:00,501,4,299.0
2020-08-01,00:00:00,501,4,299.0
2020-08-01,00:00:00,515,4,622.0
2020-08-01,00:00:00,515,4,622.0
2020-08-01,00:00:00,515,4,622.0
2020-08-01,00:00:00,515,4,622.0
2020-08-01,00:00:00,564,1,25.0
2020-08-01,00:00:00,573,1,277.0
2020-08-01,00:00:00,599,3,57.0
2020-08-01,00:00:00,599,3,57.0
2020-08-01,00:00:00,599,3,57.0
2020-08-01,00:00:00,619,1,69.0
2020-08-01,00:00:00,624,4,84.0
2020-08-01,00:00:00,624,4,84.0
2020-08-01,00:00:00,624,4,84.0
2020-08-01,00:00:00,624,4,84.0
2020-08-01,00:00:00,655,1,220.0
2020-08-01,00:00:00,675,3,157.0
2020-08-01,00:00:00,675,3,157.0
2020-08-01,00:00:00,675,3,157.0
2020-08-01,00:00:00,735,2,303.0
2020-08-01,00:00:00,735,2,303.0
